 6. Carmen Wuestenhagen ( Germany ) 4:10.38,{'MISC': 0.171462859971095, 'LOC': 0.02899867863922, 'PER': 0.0089142058816, 'ORG': 0.005869341255865, 'BankCharges': 0.00069544493, 'Insurance': 0.00033894213199999997, 'VehiclesGas': 0.0001532678987, 'VehicleRepairs': 7.07354356e-05, 'Catering': 6.91478025e-05, 'SoftwareSubscription': 2.65304812e-05, 'SmallEquipment': 2.34095599e-05, 'Unknown': 2.2859670000000002e-05, 'OfficeExpense': 2.1493079599999998e-05, 'FreightCharge': 1.73830116e-05, 'Meals&Entertainment': 1.661901553e-05, 'Postage': 1.532191196e-05, 'Telephone': 1.475204485e-05, 'Advertising': 1.238845115e-05, 'Clothing&Hair&Makeup': 6.41409683e-06, 'Travel&Transportation': 5.157611335e-06}
 7. Margarita Maruseva ( Russia ) 4:10.87,{'MISC': 0.011072567718150001, 'ORG': 0.0018870918049, 'LOC': 0.00043110271884, 'Insurance': 0.0002419652671, 'BankCharges': 6.4157991e-05, 'Catering': 4.55243157e-05, 'VehiclesGas': 4.0139049000000004e-05, 'PER': 3.974967149399999e-05, 'SmallEquipment': 2.8794790199999997e-05, 'Unknown': 1.408405614e-05, 'VehicleRepairs': 1.04834999e-05, 'OfficeExpense': 7.80894018e-06, 'FreightCharge': 7.5851274e-06, 'Postage': 4.972270313e-06, 'Advertising': 3.9913667999999994e-06, 'Meals&Entertainment': 3.97045181e-06, 'SoftwareSubscription': 3.6724976700000002e-06, 'Telephone': 3.02817864e-06, 'Travel&Transportation': 1.68861623e-06, 'Clothing&Hair&Makeup': 1.291794034e-06}
 8. Sara Thorsett ( U.S. ) 4:11.06,{'MISC': 0.0001488775929835, 'Insurance': 6.253080102e-05, 'ORG': 4.8504179429999994e-05, 'LOC': 3.9173549437e-05, 'BankCharges': 1.3619254000000001e-05, 'Catering': 8.51157779e-06, 'Unknown': 5.5568671e-06, 'Meals&Entertainment': 5.289398725e-06, 'VehiclesGas': 5.1200238040000005e-06, 'SmallEquipment': 3.62576064e-06, 'SoftwareSubscription': 2.6131686000000003e-06, 'Advertising': 2.22403841e-06, 'FreightCharge': 1.8378079100000001e-06, 'OfficeExpense': 1.29943321e-06, 'VehicleRepairs': 1.244168749e-06, 'Clothing&Hair&Makeup': 1.0768768e-06, 'Postage': 7.210187796e-07, 'PER': 6.602008755e-07, 'Telephone': 3.44210264e-07, 'Travel&Transportation': 2.342472485e-07}
 Men 's 110 metres hurdles,{'MISC': 0.150064629, 'BankCharges': 0.049100528299999995, 'Insurance': 0.0405046785, 'PER': 0.03508659127, 'Unknown': 0.026471988000000002, 'ORG': 0.020027215015, 'Travel&Transportation': 0.0176894607, 'LOC': 0.014211055362000001, 'VehicleRepairs': 0.010434902999999999, 'Telephone': 0.009974091, 'SmallEquipment': 0.00991284244, 'VehiclesGas': 0.00867649, 'FreightCharge': 0.0068972949, 'Catering': 0.00441268905, 'Advertising': 0.0025937650600000002, 'Postage': 0.00170290795, 'SoftwareSubscription': 0.0015495948500000001, 'Meals&Entertainment': 0.001439778674, 'Clothing&Hair&Makeup': 0.000885477699, 'OfficeExpense': 0.00081057081}
 1. Mark Crear ( U.S. ) 13.26 seconds,{'MISC': 0.006678304054415, 'ORG': 0.0012565402587999999, 'LOC': 0.00103046372369, 'PER': 0.0009836768886, 'BankCharges': 0.000683233881, 'SmallEquipment': 0.0001318850783, 'Insurance': 0.00011439782530000002, 'SoftwareSubscription': 9.49838008e-05, 'Catering': 8.3124003e-05, 'VehiclesGas': 5.7591726000000004e-05, 'OfficeExpense': 5.2827972500000005e-05, 'FreightCharge': 4.98973206e-05, 'Advertising': 3.34323937e-05, 'VehicleRepairs': 2.8794026399999997e-05, 'Meals&Entertainment': 2.2337191400000002e-05, 'Postage': 1.78256704e-05, 'Unknown': 1.6482645499999998e-05, 'Clothing&Hair&Makeup': 1.227025164e-05, 'Travel&Transportation': 1.0007181e-05, 'Telephone': 8.95983235e-06}
 2. Tony Jarrett ( Britain ) 13.35,{'MISC': 0.001200171335034, 'ORG': 7.906554448599999e-05, 'Insurance': 6.181092489999999e-05, 'Unknown': 4.1541844399999996e-05, 'FreightCharge': 3.761597447e-05, 'Meals&Entertainment': 3.3748128335e-05, 'SoftwareSubscription': 3.1354136099999995e-05, 'LOC': 3.0422699647e-05, 'BankCharges': 2.7758089359999998e-05, 'Catering': 1.9142305069999997e-05, 'OfficeExpense': 1.485327506e-05, 'SmallEquipment': 9.907767034e-06, 'Advertising': 8.92831236e-06, 'VehiclesGas': 5.9198398360000006e-06, 'PER': 4.478673788e-06, 'Travel&Transportation': 3.989514945e-06, 'Clothing&Hair&Makeup': 3.3285866e-06, 'VehicleRepairs': 2.309989574e-06, 'Postage': 2.275582212e-06, 'Telephone': 1.97235522e-06}
 3. Florian Schwarthoff ( Germany ) 13.36,{'MISC': 0.000836786114834, 'ORG': 3.612864315e-05, 'LOC': 1.4002473426e-05, 'PER': 1.0851991725e-05, 'Meals&Entertainment': 3.24597967e-06, 'Insurance': 2.8921962929999996e-06, 'Catering': 2.5945702800000003e-06, 'SoftwareSubscription': 2.216033246e-06, 'Unknown': 1.83982171e-06, 'BankCharges': 1.186166684e-06, 'SmallEquipment': 7.62760173e-07, 'VehiclesGas': 6.4732635e-07, 'Travel&Transportation': 4.3083687e-07, 'FreightCharge': 3.58693233e-07, 'VehicleRepairs': 2.59708334e-07, 'OfficeExpense': 2.5872798400000003e-07, 'Advertising': 1.47630225e-07, 'Postage': 1.339290082e-07, 'Telephone': 7.86702813e-08, 'Clothing&Hair&Makeup': 4.18296832e-08}
 4. Emilio Valle ( Cuba ) 13.52,{'MISC': 0.026977954791154, 'PER': 0.0015969088069290001, 'LOC': 0.00042409305648700003, 'ORG': 0.000155277828696, 'SoftwareSubscription': 0.00012403047517200002, 'BankCharges': 2.314159164e-05, 'SmallEquipment': 9.637581109999998e-06, 'Insurance': 4.97618663e-06, 'Catering': 4.878556000000001e-06, 'OfficeExpense': 4.405932979999999e-06, 'Meals&Entertainment': 4.21506736e-06, 'Unknown': 4.1920891e-06, 'Travel&Transportation': 3.55455611e-06, 'FreightCharge': 2.76634491e-06, 'Postage': 1.8595147040000001e-06, 'VehiclesGas': 1.77940447e-06, 'Advertising': 1.18709237e-06, 'VehicleRepairs': 1.03262283e-06, 'Telephone': 6.061883130000001e-07, 'Clothing&Hair&Makeup': 2.7604525889999997e-07}
 5. Falk Balzer ( Germany ) 13.52,{'MISC': 0.0015586794123033, 'PER': 3.43562782117e-05, 'LOC': 7.1916782127e-06, 'SoftwareSubscription': 6.2616699399999995e-06, 'ORG': 5.3481659899999995e-06, 'BankCharges': 1.631928204e-06, 'Insurance': 1.5845688919999999e-06, 'Catering': 1.408284484e-06, 'Meals&Entertainment': 1.365009238e-06, 'SmallEquipment': 9.29713088e-07, 'Unknown': 8.3391915e-07, 'FreightCharge': 5.771129400000001e-07, 'Travel&Transportation': 5.0719999e-07, 'OfficeExpense': 4.8273712e-07, 'VehiclesGas': 4.6035986599999996e-07, 'Postage': 1.537455038e-07, 'Advertising': 1.43988236e-07, 'VehicleRepairs': 1.381341012e-07, 'Telephone': 5.87225358e-08, 'Clothing&Hair&Makeup': 4.54399384e-08}
 6. Steve Brown ( U.S. ) 13.53,{'MISC': 0.0023858544859899997, 'ORG': 0.00017636068399999998, 'PER': 1.9572556814e-05, 'LOC': 1.34169829433e-05, 'Insurance': 7.141702739999999e-06, 'Meals&Entertainment': 3.78531099e-06, 'BankCharges': 3.50600914e-06, 'Catering': 3.2404814699999996e-06, 'SoftwareSubscription': 3.16291106e-06, 'Unknown': 3.0844717199999998e-06, 'VehicleRepairs': 1.545928155e-06, 'VehiclesGas': 1.31031596e-06, 'SmallEquipment': 7.41135435e-07, 'OfficeExpense': 7.181839615000001e-07, 'FreightCharge': 6.33626015e-07, 'Advertising': 4.5447353400000003e-07, 'Travel&Transportation': 4.21685375e-07, 'Postage': 2.7087985549999995e-07, 'Telephone': 2.30823638e-07, 'Clothing&Hair&Makeup': 8.21930543e-08}
 7. Frank Busemann ( Germany ) 13.58,{'MISC': 0.0077916326786, 'ORG': 0.000136917865, 'PER': 3.1848071801000005e-05, 'LOC': 1.4447591731000002e-05, 'Catering': 1.2819379650000001e-05, 'SmallEquipment': 9.39385927e-06, 'Unknown': 7.4736247e-06, 'Meals&Entertainment': 6.14261286e-06, 'Insurance': 6.0552494599999995e-06, 'BankCharges': 5.91969204e-06, 'Travel&Transportation': 3.3792431299999997e-06, 'VehiclesGas': 2.57808224e-06, 'SoftwareSubscription': 2.49548109e-06, 'FreightCharge': 2.08991012e-06, 'VehicleRepairs': 1.9434005600000002e-06, 'OfficeExpense': 1.8588609199999998e-06, 'Postage': 5.521317570000001e-07, 'Telephone': 4.14066225e-07, 'Advertising': 2.89218086e-07, 'Clothing&Hair&Makeup': 1.345904486e-07}
 8. Jack Pierce ( U.S. ) 13.60,{'MISC': 0.98960704, 'ORG': 0.008110736019999999, 'LOC': 0.0020589751122000004, 'PER': 5.8239367750000004e-05, 'Travel&Transportation': 3.8434529500000003e-05, 'SmallEquipment': 3.48867288e-05, 'Insurance': 2.23738635e-05, 'Catering': 1.12101877e-05, 'FreightCharge': 8.854171e-06, 'Unknown': 8.708158779999999e-06, 'BankCharges': 4.54824986e-06, 'VehiclesGas': 3.943736020000001e-06, 'Advertising': 2.38393259e-06, 'Telephone': 2.0774885999999997e-06, 'Meals&Entertainment': 2.005430894e-06, 'Postage': 1.64960605e-06, 'VehicleRepairs': 1.5088550640000001e-06, 'SoftwareSubscription': 1.3580606400000001e-06, 'OfficeExpense': 8.86471542e-07, 'Clothing&Hair&Makeup': 2.40692831e-07}
 Men 's 200 metres,{'MISC': 0.0006937016296587001, 'LOC': 0.00025723304057, 'ORG': 0.00018259461701740002, 'PER': 7.5441600768e-05, 'SoftwareSubscription': 1.5418225279999998e-05, 'Insurance': 4.67117278e-06, 'BankCharges': 4.38523174e-06, 'Catering': 3.10954477e-06, 'OfficeExpense': 2.91843042e-06, 'VehiclesGas': 2.41621102e-06, 'SmallEquipment': 1.482709517e-06, 'FreightCharge': 1.30363203e-06, 'Meals&Entertainment': 1.259632e-06, 'Postage': 9.641798050000001e-07, 'Advertising': 7.7836367e-07, 'Unknown': 6.667091699999999e-07, 'VehicleRepairs': 5.27977978e-07, 'Telephone': 3.1877094099999996e-07, 'Travel&Transportation': 2.6564965900000003e-07, 'Clothing&Hair&Makeup': 1.50183115e-07}
 1. Frankie Fredericks ( Namibia ) 19.97 seconds,{'MISC': 0.00226066809723, 'LOC': 0.000162572312805, 'ORG': 8.27225777829e-05, 'PER': 2.79137080045e-05, 'SoftwareSubscription': 1.150084346e-05, 'Insurance': 1.0565703970000001e-05, 'BankCharges': 4.0304844e-06, 'Unknown': 3.56949887e-06, 'Catering': 3.52760123e-06, 'SmallEquipment': 3.17327044e-06, 'VehiclesGas': 2.7280827599999995e-06, 'FreightCharge': 2.15520134e-06, 'Travel&Transportation': 1.96678545e-06, 'Meals&Entertainment': 1.78127359e-06, 'OfficeExpense': 1.278093426e-06, 'Postage': 7.17753201e-07, 'Advertising': 6.87236016e-07, 'VehicleRepairs': 6.8317078e-07, 'Telephone': 3.50870117e-07, 'Clothing&Hair&Makeup': 2.29273573e-07}
 2. Michael Johnson ( U.S. ) 20.02,{'MISC': 0.0055074505019995, 'LOC': 0.0014798831282, 'PER': 0.001196532008886, 'ORG': 0.00073547913131, 'BankCharges': 3.70797948e-05, 'SoftwareSubscription': 3.30206244e-05, 'Meals&Entertainment': 2.64162345e-05, 'Insurance': 2.6252802180000003e-05, 'Catering': 1.29976364e-05, 'Unknown': 9.69179196e-06, 'VehiclesGas': 8.8543547e-06, 'SmallEquipment': 8.09464804e-06, 'FreightCharge': 6.2978943400000005e-06, 'Travel&Transportation': 5.88576496e-06, 'Postage': 4.987589764e-06, 'VehicleRepairs': 4.14788063e-06, 'OfficeExpense': 3.0539343800000003e-06, 'Advertising': 1.62371128e-06, 'Telephone': 1.5728816520000002e-06, 'Clothing&Hair&Makeup': 1.4371817410000001e-06}
 3. Ato Boldon ( Trinidad ) 20.37,{'MISC': 0.000908032046251, 'ORG': 0.00013156689985, 'PER': 4.1825312524000006e-05, 'LOC': 3.2836192395e-05, 'Insurance': 2.721300599e-05, 'BankCharges': 1.2732132430000001e-05, 'Unknown': 6.45840796e-06, 'Catering': 5.46748445e-06, 'SoftwareSubscription': 5.4336510899999996e-06, 'VehiclesGas': 3.88226457e-06, 'Meals&Entertainment': 3.0080501099999997e-06, 'SmallEquipment': 1.866531e-06, 'FreightCharge': 1.32938869e-06, 'VehicleRepairs': 1.237468735e-06, 'Advertising': 7.705803200000001e-07, 'OfficeExpense': 6.907223629999999e-07, 'Postage': 6.55911663e-07, 'Clothing&Hair&Makeup': 4.65667243e-07, 'Travel&Transportation': 4.6365173400000004e-07, 'Telephone': 2.56989826e-07}
 4. Geir Moen ( Norway ) 20.41,{'MISC': 0.0012752615847700002, 'Insurance': 0.00033963281184, 'ORG': 0.000184429189494, 'BankCharges': 0.00016234559849999999, 'PER': 0.000143453139087, 'LOC': 5.31964335505e-05, 'Catering': 4.5861991e-05, 'VehiclesGas': 3.6608151199999995e-05, 'Unknown': 2.00149181e-05, 'SoftwareSubscription': 1.524147164e-05, 'VehicleRepairs': 1.056790236e-05, 'Meals&Entertainment': 1.016055928e-05, 'FreightCharge': 7.3199951e-06, 'Advertising': 7.07917692e-06, 'Clothing&Hair&Makeup': 6.4628695900000004e-06, 'SmallEquipment': 4.83112973e-06, 'Postage': 2.943917554e-06, 'OfficeExpense': 2.7213077e-06, 'Travel&Transportation': 1.686553656e-06, 'Telephone': 1.45975607e-06}
 5. Patrick Stevens ( Belgium ) 20.54,{'MISC': 0.0015809409524495, 'ORG': 0.00027491469369399994, 'LOC': 0.00017004600699599998, 'PER': 5.095253749e-05, 'BankCharges': 2.3367400199999996e-05, 'Insurance': 1.932607079e-05, 'VehiclesGas': 1.043077747e-05, 'Catering': 5.46928485e-06, 'Unknown': 2.536318115e-06, 'VehicleRepairs': 1.8155603400000002e-06, 'Meals&Entertainment': 1.254298354e-06, 'SmallEquipment': 1.1007349550000002e-06, 'FreightCharge': 7.979561669999999e-07, 'SoftwareSubscription': 6.81545235e-07, 'Advertising': 5.4328108e-07, 'Clothing&Hair&Makeup': 4.4794718999999996e-07, 'Postage': 3.70532173e-07, 'OfficeExpense': 2.35535294e-07, 'Telephone': 2.0728818200000002e-07, 'Travel&Transportation': 1.81373778e-07}
 6. Jon Drummond ( U.S. ) 20.78,{'MISC': 0.01436138933827, 'PER': 0.00072398659751, 'BankCharges': 0.0005402874815999999, 'LOC': 0.00050342076131726, 'VehiclesGas': 0.00025969157130000003, 'FreightCharge': 9.11393227e-05, 'VehicleRepairs': 7.195076700000001e-05, 'Catering': 6.68599614e-05, 'Insurance': 6.35901001e-05, 'ORG': 2.937985792632e-05, 'Unknown': 2.53846552e-05, 'Telephone': 1.87851476e-05, 'Clothing&Hair&Makeup': 1.1878826728e-05, 'Travel&Transportation': 1.13642344e-05, 'SmallEquipment': 8.911600699999999e-06, 'SoftwareSubscription': 8.2146263e-06, 'OfficeExpense': 5.7663607050000005e-06, 'Meals&Entertainment': 5.761298096e-06, 'Postage': 3.4349039800000004e-06, 'Advertising': 3.41685958e-06}
 7. Claus Hirsbro ( Denmark ) 20.90,{'MISC': 0.17552170600000003, 'LOC': 0.079327111038, 'Catering': 0.01835499415, 'ORG': 0.012187519321000002, 'FreightCharge': 0.0057578248, 'BankCharges': 0.005429952758, 'SmallEquipment': 0.00506240706, 'VehiclesGas': 0.0035938854000000004, 'PER': 0.0024640610687, 'OfficeExpense': 0.0017136115699999998, 'VehicleRepairs': 0.00156747301, 'Insurance': 0.001169480357, 'Travel&Transportation': 0.0007384260760000001, 'Postage': 0.0005129195959999999, 'Meals&Entertainment': 0.000439565726, 'Telephone': 0.000414562807, 'Advertising': 0.00041175075, 'SoftwareSubscription': 0.00039103788000000007, 'Clothing&Hair&Makeup': 0.00029447152900000003, 'Unknown': 0.000259074022}
 8. Ivan Garcia ( Cuba ) 20.96,{'PER': 0.00941839710189, 'MISC': 0.005886716254473, 'LOC': 0.00464390366084, 'ORG': 0.0006816901003005599, 'VehiclesGas': 0.0002079510672, 'BankCharges': 8.0364169416e-05, 'Advertising': 2.914952455e-05, 'SoftwareSubscription': 2.3479666682999998e-05, 'Unknown': 1.9798082060000002e-05, 'Telephone': 1.39479866e-05, 'FreightCharge': 1.272352516e-05, 'Meals&Entertainment': 5.030896080299999e-06, 'Insurance': 2.9489847939999997e-06, 'OfficeExpense': 2.8556168370000002e-06, 'Catering': 2.801220299e-06, 'SmallEquipment': 2.626413766e-06, 'Travel&Transportation': 1.7626271879999998e-06, 'Clothing&Hair&Makeup': 1.601690083e-06, 'VehicleRepairs': 1.361936305e-06, 'Postage': 7.882234743e-07}
 Women 's shot put,{'MISC': 0.008222636322, 'PER': 0.00096255112811, 'LOC': 8.146711399499999e-05, 'SoftwareSubscription': 3.5636980733e-05, 'ORG': 2.29373827004e-05, 'Unknown': 8.42549205e-06, 'VehiclesGas': 8.19775285e-06, 'OfficeExpense': 7.532728960000001e-06, 'Travel&Transportation': 6.161219280000001e-06, 'SmallEquipment': 5.728233960000001e-06, 'BankCharges': 4.68053217e-06, 'FreightCharge': 4.00948376e-06, 'Advertising': 3.5161962899999998e-06, 'Meals&Entertainment': 3.0445006599999997e-06, 'Telephone': 2.64716347e-06, 'Catering': 2.31208761e-06, 'VehicleRepairs': 1.67992169e-06, 'Insurance': 1.4266515639999999e-06, 'Postage': 7.48081259e-07, 'Clothing&Hair&Makeup': 6.830471569999999e-07}
 1. Astrid Kumbernuss ( Germany ) 19.89 metres,{'MISC': 0.00248661663, 'PER': 5.2895544022999996e-05, 'LOC': 1.6540735453999998e-05, 'FreightCharge': 6.8031646e-06, 'SoftwareSubscription': 6.641841585e-06, 'ORG': 6.585624104e-06, 'Catering': 5.11485348e-06, 'Unknown': 4.883713089999999e-06, 'BankCharges': 4.769368326e-06, 'VehiclesGas': 4.04331733e-06, 'SmallEquipment': 3.5480560100000003e-06, 'OfficeExpense': 3.0767889549999998e-06, 'Meals&Entertainment': 3.0032227480000002e-06, 'Travel&Transportation': 2.9039124599999997e-06, 'Insurance': 1.03436659e-06, 'VehicleRepairs': 4.87292415e-07, 'Advertising': 4.8361273e-07, 'Clothing&Hair&Makeup': 2.947708687e-07, 'Telephone': 2.7635970000000004e-07, 'Postage': 2.382966476e-07}
 2. Claudia Mues ( Germany ) 18.80,{'MISC': 0.00376836596445, 'ORG': 0.000129908772843, 'PER': 8.9207149703e-05, 'LOC': 8.6621403853e-05, 'Catering': 1.1538837500000001e-05, 'Insurance': 1.003425675e-05, 'BankCharges': 9.948252300000001e-06, 'VehiclesGas': 9.871134709999998e-06, 'VehicleRepairs': 3.01809401e-06, 'SmallEquipment': 1.8288474699999998e-06, 'Meals&Entertainment': 1.390557575e-06, 'Unknown': 1.33518552e-06, 'SoftwareSubscription': 1.0334635849999999e-06, 'FreightCharge': 9.6305378e-07, 'OfficeExpense': 8.146886650000001e-07, 'Advertising': 5.608679369999999e-07, 'Postage': 4.81200218e-07, 'Telephone': 2.99386113e-07, 'Travel&Transportation': 2.77315064e-07, 'Clothing&Hair&Makeup': 1.276990392e-07}
 3. Irina Korzhanenko ( Russia ) 18.63,{'MISC': 0.00389669326789, 'ORG': 0.000202896949815, 'LOC': 6.22039446052e-05, 'PER': 1.55916699782e-05, 'Insurance': 6.868890355000001e-06, 'BankCharges': 2.95388157e-06, 'Catering': 2.70291014e-06, 'VehiclesGas': 2.0911673699999996e-06, 'SoftwareSubscription': 1.4239025360000001e-06, 'Unknown': 1.4235804599999999e-06, 'VehicleRepairs': 9.88044862e-07, 'OfficeExpense': 7.050576259999998e-07, 'SmallEquipment': 5.921202230000001e-07, 'Meals&Entertainment': 5.54479526e-07, 'FreightCharge': 5.38335194e-07, 'Postage': 3.29499884e-07, 'Advertising': 2.1309501149999998e-07, 'Telephone': 1.86331406e-07, 'Travel&Transportation': 1.6755744199999998e-07, 'Clothing&Hair&Makeup': 8.359691059999999e-08}
 4. Valentina Fedyushina ( Russia ) 18.55,{'MISC': 0.00046404242366099996, 'LOC': 0.00010340775455, 'ORG': 9.542826861499999e-05, 'Insurance': 3.67533422e-05, 'Catering': 2.9863949700000002e-05, 'BankCharges': 8.57239936e-06, 'VehiclesGas': 6.71737251e-06, 'PER': 4.895358078400001e-06, 'VehicleRepairs': 3.3628457400000006e-06, 'OfficeExpense': 2.8573390659999998e-06, 'SmallEquipment': 2.1599723e-06, 'Meals&Entertainment': 2.032618e-06, 'SoftwareSubscription': 1.81017063e-06, 'FreightCharge': 1.77761915e-06, 'Unknown': 1.5853182559999998e-06, 'Postage': 9.4163904e-07, 'Advertising': 4.502047445e-07, 'Travel&Transportation': 3.9612782e-07, 'Telephone': 3.85928887e-07, 'Clothing&Hair&Makeup': 1.94973262e-07}
 5. Stephanie Storp ( Germany ) 18.41,{'MISC': 0.00145971054446, 'ORG': 7.8977377676e-05, 'Insurance': 5.108154173e-05, 'PER': 3.2216051084000004e-05, 'BankCharges': 1.93163608e-05, 'LOC': 1.3942223768399999e-05, 'Catering': 8.37069586e-06, 'VehiclesGas': 5.71899815e-06, 'SoftwareSubscription': 3.83005577e-06, 'Unknown': 2.8701637e-06, 'Meals&Entertainment': 2.299210436e-06, 'SmallEquipment': 1.50777638e-06, 'VehicleRepairs': 1.477456136e-06, 'Advertising': 1.35882195e-06, 'FreightCharge': 1.3324129999999999e-06, 'OfficeExpense': 8.237937000000001e-07, 'Clothing&Hair&Makeup': 6.08385103e-07, 'Postage': 4.781513766e-07, 'Travel&Transportation': 2.462981375e-07, 'Telephone': 2.43440784e-07}
 Men 's mile,{'MISC': 0.031918691873000005, 'LOC': 9.86149785669e-05, 'ORG': 9.450777534000002e-05, 'SmallEquipment': 2.1535369690000004e-05, 'Catering': 1.2652666859999999e-05, 'PER': 1.0069358668499999e-05, 'Insurance': 8.299488809999999e-06, 'BankCharges': 7.850121260000001e-06, 'Unknown': 6.452819069999999e-06, 'FreightCharge': 6.0174736900000005e-06, 'VehiclesGas': 3.26681328e-06, 'Meals&Entertainment': 2.631931425e-06, 'OfficeExpense': 1.9586470769999998e-06, 'Travel&Transportation': 1.89957969e-06, 'SoftwareSubscription': 1.624904756e-06, 'VehicleRepairs': 1.19353293e-06, 'Postage': 5.28354899e-07, 'Telephone': 3.5216347299999994e-07, 'Advertising': 3.18656371e-07, 'Clothing&Hair&Makeup': 1.794408298e-07}
 1. Noureddine Morceli ( Algeria ) 3 minutes 49.09 seconds,{'LOC': 0.9964894729, 'MISC': 0.00274466647, 'ORG': 0.00073458096, 'Catering': 1.0868634280000001e-05, 'PER': 6.14438252e-06, 'SmallEquipment': 2.89915678e-06, 'VehiclesGas': 1.9192398900000003e-06, 'SoftwareSubscription': 1.289379797e-06, 'OfficeExpense': 1.09576777e-06, 'FreightCharge': 8.941823399999999e-07, 'VehicleRepairs': 6.73112293e-07, 'Insurance': 6.3962513e-07, 'Postage': 4.64690731e-07, 'Meals&Entertainment': 3.9182731e-07, 'BankCharges': 3.66405168e-07, 'Travel&Transportation': 3.60097384e-07, 'Telephone': 2.71564922e-07, 'Advertising': 2.69319149e-07, 'Clothing&Hair&Makeup': 9.43655042e-08, 'Unknown': 4.6493974e-08}
 2. Venuste Niyongabo ( Burundi ) 3:51.01,{'MISC': 0.0009781839721816, 'ORG': 7.27470786e-05, 'LOC': 4.1428342262999996e-05, 'PER': 7.166634541600001e-06, 'Catering': 5.40823255e-06, 'Insurance': 4.818146143e-06, 'VehiclesGas': 3.083705764e-06, 'BankCharges': 2.1977922199999997e-06, 'OfficeExpense': 1.216809118e-06, 'SoftwareSubscription': 1.0576290650000001e-06, 'VehicleRepairs': 9.900708840000001e-07, 'FreightCharge': 6.6955847e-07, 'SmallEquipment': 6.656468850000001e-07, 'Meals&Entertainment': 6.11188574e-07, 'Unknown': 3.42260567e-07, 'Postage': 2.582277753e-07, 'Advertising': 1.49632309e-07, 'Telephone': 9.36201617e-08, 'Travel&Transportation': 8.9016936e-08, 'Clothing&Hair&Makeup': 3.94765822e-08}
 3. William Tanui ( Kenya ) 3:51.40,{'PER': 0.9995760288000001, 'ORG': 0.00029986767079999996, 'MISC': 8.057433418999999e-05, 'LOC': 4.140475126000001e-05, 'VehiclesGas': 5.37829195e-07, 'VehicleRepairs': 2.5796135e-07, 'SoftwareSubscription': 2.21024152e-07, 'BankCharges': 1.95981123e-07, 'Clothing&Hair&Makeup': 1.04472725e-07, 'Travel&Transportation': 9.7209195e-08, 'Meals&Entertainment': 9.236306639999999e-08, 'Postage': 8.346130419999999e-08, 'Catering': 8.2690083e-08, 'FreightCharge': 6.810920366e-08, 'OfficeExpense': 6.61326343e-08, 'Telephone': 6.60458411e-08, 'Unknown': 6.345678999999999e-08, 'Advertising': 6.03991186e-08, 'Insurance': 5.1854729499999995e-08, 'SmallEquipment': 3.34962874e-08}
 4. Laban Rotich ( Kenya ) 3:53.42,{'MISC': 0.000894247076, 'VehiclesGas': 2.639421582e-05, 'Catering': 1.64597793e-05, 'PER': 1.615313009e-05, 'ORG': 1.3495916771999998e-05, 'LOC': 8.90345634e-06, 'BankCharges': 8.12780474e-06, 'SoftwareSubscription': 7.33741784e-06, 'SmallEquipment': 7.06512853e-06, 'Insurance': 6.35408425e-06, 'Meals&Entertainment': 5.09568394e-06, 'FreightCharge': 3.8964388e-06, 'OfficeExpense': 3.83495532e-06, 'Unknown': 2.7683724e-06, 'Advertising': 1.28061093e-06, 'VehicleRepairs': 1.184911004e-06, 'Clothing&Hair&Makeup': 4.97559644e-07, 'Postage': 4.23971815e-07, 'Telephone': 4.1928114500000006e-07, 'Travel&Transportation': 4.18261755e-07}
 5. Marko Koers ( Netherlands ) 3:53.47,{'PER': 0.0042393021922, 'MISC': 0.002000650850718, 'ORG': 0.00176688314839, 'LOC': 0.0010192242405999998, 'Insurance': 0.0005797740229999998, 'VehiclesGas': 0.000243183533, 'Catering': 0.00024255564999999996, 'SoftwareSubscription': 0.0002384449283, 'BankCharges': 0.000180234835, 'VehicleRepairs': 0.0001032862245, 'Meals&Entertainment': 8.492530300000001e-05, 'FreightCharge': 4.141296900000001e-05, 'OfficeExpense': 3.9940855e-05, 'Postage': 2.994687466e-05, 'Unknown': 2.97510876e-05, 'Clothing&Hair&Makeup': 2.56631208e-05, 'Advertising': 2.43338032e-05, 'SmallEquipment': 2.0073065300000002e-05, 'Telephone': 1.1880874440000001e-05, 'Travel&Transportation': 1.088020549e-05}
 6. Isaac Viciosa ( Spain ) 3:53.85,{'MISC': 0.1719064431, 'PER': 0.03230165103, 'VehiclesGas': 0.002137276484, 'BankCharges': 0.00129724408, 'SoftwareSubscription': 0.0010971219310000001, 'Catering': 0.0007885792349999999, 'Insurance': 0.000693415293, 'SmallEquipment': 0.000690386214, 'OfficeExpense': 0.0005172695800000001, 'FreightCharge': 0.00044007628000000004, 'Unknown': 0.00034319814500000003, 'LOC': 0.00028131117699999996, 'Advertising': 0.000272243349, 'ORG': 0.0002712224087, 'Meals&Entertainment': 0.000142088857, 'VehicleRepairs': 0.000141481634, 'Telephone': 0.000130017513, 'Clothing&Hair&Makeup': 0.0001148743433, 'Travel&Transportation': 0.0001078637574, 'Postage': 7.97169399e-05}
